Date,City,Actual_PM25,Forecast_PM25
2023-07-14,Edmonton,140.3043478,10.462067311019684
2023-07-15,Edmonton,202.2083333,11.799753164686374
2023-07-16,Edmonton,74.29166667,10.974870476946888
2023-07-17,Edmonton,29.29166667,10.367606919400089
2023-07-18,Edmonton,24.5,10.575880809665557
2023-07-19,Edmonton,14.29166667,10.380283084704004
2023-07-20,Edmonton,24.125,10.737426235103186
2023-07-21,Edmonton,77.5,10.481622661527219
2023-07-22,Edmonton,30.41666667,11.819308515193928
2023-07-23,Edmonton,18.79166667,10.994425827454428
2023-07-24,Edmonton,39.5,10.387162269907641
2023-07-25,Edmonton,4.291666667,10.595436160173099
2023-07-26,Edmonton,2.916666667,10.399838435211556
2023-07-27,Edmonton,5.125,10.756981585610731
2023-07-28,Edmonton,4.625,10.501178012034769
2023-07-29,Edmonton,3.916666667,11.838863865701471
2023-07-30,Edmonton,6.0,11.013981177961975
2023-07-31,Edmonton,8.791666667,10.406717620415185
2023-08-01,Edmonton,13.08333333,10.614991510680648
2023-08-02,Edmonton,19.41666667,10.419393785719102
2023-08-03,Edmonton,9.708333333,10.77653693611828
2023-08-04,Edmonton,7.739130435,10.520733362542316
2023-08-05,Edmonton,14.20833333,11.858419216209022
2023-08-06,Edmonton,14.875,11.033536528469526
2023-08-07,Edmonton,16.875,10.426272970922735
2023-08-08,Edmonton,39.875,10.634546861188197
2023-08-09,Edmonton,17.25,10.438949136226652
2023-08-10,Edmonton,3.5,10.796092286625829
2023-08-11,Edmonton,5.041666667,10.540288713049865
2023-08-12,Edmonton,3.708333333,11.87797456671657
2023-08-13,Edmonton,3.791666667,11.053091878977074
2023-08-14,Edmonton,9.333333333,10.445828321430286
2023-08-15,Edmonton,11.58333333,10.654102211695747
2023-08-16,Edmonton,9.166666667,10.458504486734201
2023-08-17,Edmonton,37.70833333,10.815647637133377
2023-08-18,Edmonton,17.54166667,10.559844063557414
2023-08-19,Edmonton,12.5,11.89752991722412
2023-08-20,Edmonton,11.75,11.072647229484623
2023-08-21,Edmonton,17.125,10.465383671937834
2023-08-22,Edmonton,16.56521739,10.673657562203296
2023-08-23,Edmonton,8.291666667,10.47805983724175
2023-08-24,Edmonton,39.91666667,10.835202987640926
2023-08-25,Edmonton,55.70833333,10.579399414064962
2023-08-26,Edmonton,28.75,11.917085267731668
2023-08-27,Edmonton,34.875,11.092202579992172
2023-08-28,Edmonton,39.54166667,10.484939022445383
2023-08-29,Edmonton,36.91666667,10.693212912710845
2023-08-30,Edmonton,29.04166667,10.497615187749298
2023-08-31,Edmonton,38.20833333,10.854758338148475
2023-09-01,Edmonton,62.625,10.598954764572511
2023-09-02,Edmonton,89.08333333,11.936640618239217
2023-09-03,Edmonton,154.4166667,11.11175793049972
2023-09-04,Edmonton,94.79166667,10.504494372952932
2023-09-05,Edmonton,50.33333333,10.712768263218393
2023-09-06,Edmonton,43.0,10.517170538256847
2023-09-07,Edmonton,21.33333333,10.874313688656024
2023-09-08,Edmonton,13.33333333,10.61851011508006
2023-09-09,Edmonton,13.625,11.956195968746766
2023-09-10,Edmonton,9.541666667,11.13131328100727
2023-09-11,Edmonton,7.25,10.52404972346048
2023-09-12,Edmonton,27.58333333,10.732323613725942
2023-09-13,Edmonton,33.8,10.536725888764396
2023-09-14,Edmonton,21.54166667,10.893869039163572
2023-09-15,Edmonton,18.95833333,10.638065465587609
2023-09-16,Edmonton,64.95833333,11.975751319254314
2023-09-17,Edmonton,100.5,11.150868631514818
2023-09-18,Edmonton,54.16666667,10.54360507396803
2023-09-19,Edmonton,7.458333333,10.75187896423349
2023-09-20,Edmonton,8.875,10.556281239271945
2023-09-21,Edmonton,9.791666667,10.913424389671121
2023-09-22,Edmonton,15.25,10.657620816095157
2023-09-23,Edmonton,7.916666667,11.995306669761863
2023-09-24,Edmonton,5.416666667,11.170423982022367
2023-09-25,Edmonton,10.04166667,10.563160424475578
2023-09-26,Edmonton,6.875,10.77143431474104
2023-09-27,Edmonton,3.625,10.575836589779493
2023-09-28,Edmonton,6.458333333,10.93297974017867
2023-09-29,Edmonton,21.08333333,10.677176166602706
2023-09-30,Edmonton,19.16666667,12.014862020269412
2023-10-01,Edmonton,11.91666667,11.189979332529916
2023-10-02,Edmonton,5.333333333,10.582715774983127
2023-10-03,Edmonton,3.125,10.790989665248588
2023-10-04,Edmonton,2.541666667,10.595391940287042
2023-10-05,Edmonton,3.666666667,10.952535090686219
2023-10-06,Edmonton,3.25,10.696731517110255
2023-10-07,Edmonton,5.416666667,12.03441737077696
2023-10-08,Edmonton,4.875,11.209534683037464
2023-10-09,Edmonton,8.541666667,10.602271125490676
2023-10-10,Edmonton,8.916666667,10.810545015756137
2023-10-11,Edmonton,8.086956522,10.614947290794591
2023-10-12,Edmonton,10.04166667,10.972090441193767
2023-10-13,Edmonton,7.083333333,10.716286867617804
2023-10-14,Edmonton,3.782608696,12.05397272128451
2023-10-15,Edmonton,10.83333333,11.229090033545013
2023-10-16,Edmonton,10.91666667,10.621826475998224
2023-10-17,Edmonton,6.125,10.830100366263686
2023-10-18,Edmonton,3.458333333,10.63450264130214
2023-10-19,Edmonton,3.666666667,10.991645791701316
2023-10-20,Edmonton,3.666666667,10.735842218125352
2023-10-21,Edmonton,6.708333333,12.073528071792058
2023-10-22,Edmonton,9.291666667,11.248645384052562
2023-10-23,Edmonton,3.541666667,10.641381826505773
2023-10-24,Edmonton,3.958333333,10.849655716771235
2023-10-25,Edmonton,7.25,10.654057991809688
2023-10-26,Edmonton,6.916666667,11.011201142208865
2023-10-27,Edmonton,6.416666667,10.755397568632901
2023-10-28,Edmonton,6.666666667,12.093083422299607
2023-10-29,Edmonton,5.875,11.26820073456011
2023-10-30,Edmonton,7.5,10.660937177013322
2023-10-31,Edmonton,12.625,10.869211067278783
2023-11-01,Edmonton,14.125,10.673613342317237
2023-11-02,Edmonton,13.04166667,11.030756492716414
2023-11-03,Edmonton,19.75,10.77495291914045
2023-11-04,Edmonton,15.0,12.112638772807156
2023-11-05,Edmonton,22.54166667,11.28775608506766
2023-11-06,Edmonton,12.16666667,10.68049252752087
2023-11-07,Edmonton,9.458333333,10.888766417786332
2023-11-08,Edmonton,2.875,10.693168692824786
2023-11-09,Edmonton,6.541666667,11.050311843223962
2023-11-10,Edmonton,6.375,10.794508269647999
2023-11-11,Edmonton,4.416666667,12.132194123314704
2023-11-12,Edmonton,4.166666667,11.307311435575208
2023-11-13,Edmonton,3.166666667,10.70004787802842
2023-11-14,Edmonton,4.875,10.908321768293881
2023-11-15,Edmonton,6.0,10.712724043332335
2023-11-16,Edmonton,5.166666667,11.069867193731511
2023-11-17,Edmonton,6.5,10.814063620155547
2023-11-18,Edmonton,5.458333333,12.151749473822253
2023-11-19,Edmonton,4.666666667,11.326866786082757
2023-11-20,Edmonton,3.041666667,10.719603228535968
2023-11-21,Edmonton,10.34782609,10.92787711880143
2023-11-22,Edmonton,7.0,10.732279393839883
2023-11-23,Edmonton,17.875,11.08942254423906
2023-11-24,Edmonton,7.541666667,10.833618970663096
2023-11-25,Edmonton,4.25,12.171304824329802
2023-11-26,Edmonton,5.130434783,11.346422136590306
2023-11-27,Edmonton,5.458333333,10.739158579043517
2023-11-28,Edmonton,4.708333333,10.947432469308978
2023-11-29,Edmonton,2.958333333,10.751834744347432
2023-11-30,Edmonton,8.166666667,11.108977894746609
2023-12-01,Edmonton,11.08333333,10.853174321170645
2023-12-02,Edmonton,14.45833333,12.19086017483735
2023-12-03,Edmonton,4.416666667,11.365977487097854
2023-12-04,Edmonton,4.166666667,10.758713929551066
2023-12-05,Edmonton,5.708333333,10.966987819816527
2023-12-06,Edmonton,8.958333333,10.771390094854981
2023-12-07,Edmonton,5.136363636,11.128533245254157
2023-12-08,Edmonton,5.5,10.872729671678194
2023-12-09,Edmonton,4.083333333,12.2104155253449
2023-12-10,Edmonton,5.25,11.385532837605403
2023-12-11,Edmonton,3.041666667,10.778269280058614
2023-12-12,Edmonton,7.041666667,10.986543170324076
2023-12-13,Edmonton,4.375,10.79094544536253
2023-12-14,Edmonton,4.625,11.148088595761706
2023-12-15,Edmonton,12.95833333,10.892285022185742
2023-12-16,Edmonton,3.541666667,12.229970875852448
2023-12-17,Edmonton,2.833333333,11.405088188112952
2023-12-18,Edmonton,5.625,10.797824630566163
2023-12-19,Edmonton,3.291666667,11.006098520831625
2023-12-20,Edmonton,11.0,10.810500795870079
2023-12-21,Edmonton,11.45833333,11.167643946269255
